FeatureSize,Run,Model,Accuracy,Precision,Recall,F1,AUC,NumSelectedFeatures
2,50,KNN,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9488536155202821,2
2,50,GradientBoosting,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9929453262786596,2
2,51,LogisticRegression,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9788359788359788,2
2,51,RandomForest,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9805996472663139,2
2,51,SVM,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9206349206349207,2
2,51,KNN,0.9166666666666666,1.0,0.8095238095238095,0.8947368421052632,0.972663139329806,2
2,51,GradientBoosting,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9638447971781305,2
2,52,LogisticRegression,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9559082892416225,2
2,52,RandomForest,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9753086419753086,2
2,52,SVM,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.966490299823633,2
2,52,KNN,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9656084656084656,2
2,52,GradientBoosting,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9241622574955908,2
2,53,LogisticRegression,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,1.0,2
2,53,RandomForest,1.0,1.0,1.0,1.0,1.0,2
2,53,SVM,1.0,1.0,1.0,1.0,1.0,2
2,53,KNN,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,1.0,2
2,53,GradientBoosting,1.0,1.0,1.0,1.0,1.0,2
2,54,LogisticRegression,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9964726631393298,2
2,54,RandomForest,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9779541446208113,2
2,54,SVM,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9929453262786596,2
2,54,KNN,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9691358024691358,2
2,54,GradientBoosting,0.9375,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9938271604938271,2
2,55,LogisticRegression,1.0,1.0,1.0,1.0,1.0,2
2,55,RandomForest,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,1.0,2
2,55,SVM,0.9583333333333334,1.0,0.9047619047619048,0.95,1.0,2
2,55,KNN,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.998236331569665,2
2,55,GradientBoosting,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9964726631393298,2
2,56,LogisticRegression,0.9583333333333334,1.0,0.9047619047619048,0.95,1.0,2
2,56,RandomForest,0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,56,SVM,0.9583333333333334,1.0,0.9047619047619048,0.95,1.0,2
2,56,KNN,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9911816578483246,2
2,56,GradientBoosting,0.9375,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9964726631393298,2
2,57,LogisticRegression,0.9166666666666666,0.9473684210526315,0.8571428571428571,0.9,0.9700176366843034,2
2,57,RandomForest,0.8958333333333334,0.9,0.8571428571428571,0.8780487804878049,0.9585537918871252,2
2,57,SVM,0.9166666666666666,0.9473684210526315,0.8571428571428571,0.9,0.9506172839506173,2
