FeatureSize,Run,Model,Dataset,Accuracy,Precision,Recall,F1,AUC,NumSelectedFeatures
2,14,LogisticRegression,Train (TCGA),0.9642857142857143,0.9782608695652174,0.9375,0.9574468085106383,0.9918619791666667,2
2,14,LogisticRegression,Test (TCGA),0.9375,0.95,0.9047619047619048,0.926829268292683,0.9858906525573192,2
2,14,LogisticRegression,CPTAC,,,,,,2
2,14,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,14,RandomForest,Test (TCGA),0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9964726631393299,2
2,14,RandomForest,CPTAC,,,,,,2
2,14,SVM,Train (TCGA),0.9732142857142857,1.0,0.9375,0.967741935483871,0.9905598958333333,2
2,14,SVM,Test (TCGA),0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9929453262786596,2
2,14,SVM,CPTAC,,,,,,2
2,14,KNN,Train (TCGA),0.9732142857142857,0.9787234042553191,0.9583333333333334,0.968421052631579,0.9972330729166666,2
2,14,KNN,Test (TCGA),0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9735449735449735,2
2,14,KNN,CPTAC,,,,,,2
2,14,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,14,GradientBoosting,Test (TCGA),0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9929453262786596,2
2,14,GradientBoosting,CPTAC,,,,,,2
2,15,LogisticRegression,Train (TCGA),0.9732142857142857,0.9591836734693877,0.9791666666666666,0.9690721649484536,0.9925130208333333,2
2,15,LogisticRegression,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.982363315696649,2
2,15,LogisticRegression,CPTAC,,,,,,2
2,15,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,15,RandomForest,Test (TCGA),0.9166666666666666,0.9473684210526315,0.8571428571428571,0.9,0.9735449735449735,2
2,15,RandomForest,CPTAC,,,,,,2
2,15,SVM,Train (TCGA),0.9821428571428571,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.98828125,2
2,15,SVM,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9753086419753086,2
2,15,SVM,CPTAC,,,,,,2
2,15,KNN,Train (TCGA),0.9821428571428571,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9986979166666666,2
2,15,KNN,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9708994708994709,2
2,15,KNN,CPTAC,,,,,,2
2,15,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,15,GradientBoosting,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9761904761904762,2
2,15,GradientBoosting,CPTAC,,,,,,2
2,16,LogisticRegression,Train (TCGA),0.9553571428571429,1.0,0.8958333333333334,0.945054945054945,0.9807942708333333,2
2,16,LogisticRegression,Test (TCGA),0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9964726631393299,2
2,16,LogisticRegression,CPTAC,,,,,,2
2,16,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,16,RandomForest,Test (TCGA),0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,0.998236331569665,2
2,16,RandomForest,CPTAC,,,,,,2
2,16,SVM,Train (TCGA),0.9642857142857143,1.0,0.9166666666666666,0.9565217391304348,0.9697265625,2
2,16,SVM,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.998236331569665,2
2,16,SVM,CPTAC,,,,,,2
2,16,KNN,Train (TCGA),0.9553571428571429,1.0,0.8958333333333334,0.945054945054945,0.9876302083333333,2
2,16,KNN,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9938271604938271,2
2,16,KNN,CPTAC,,,,,,2
2,16,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,16,GradientBoosting,Test (TCGA),0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,16,GradientBoosting,CPTAC,,,,,,2
2,17,LogisticRegression,Train (TCGA),0.9642857142857143,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9899088541666667,2
2,17,LogisticRegression,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9858906525573192,2
2,17,LogisticRegression,CPTAC,,,,,,2
